-68905.5424362317	1.#INF0e+000
-59694.1257308587	1.33682e-001
-58089.8239360695	2.68754e-002
-57537.3916931174	9.50997e-003
-57035.7368426072	8.71876e-003
-56559.1025788379	8.35677e-003
-56172.4017920168	6.83711e-003
-55899.2927231010	4.86198e-003
-55705.5324330196	3.46624e-003
-55553.0571777467	2.73717e-003
-55426.6333164152	2.27573e-003
-55321.4405497008	1.89787e-003
-55235.9805312771	1.54479e-003
-55171.0456990143	1.17559e-003
-55125.0880339673	8.33003e-004
-55093.0077307899	5.81955e-004
-55068.4013331074	4.46634e-004
-55048.5837886341	3.59871e-004
-55032.4848574391	2.92450e-004
-55018.4099332614	2.55757e-004
-55003.6055580038	2.69080e-004
-54989.0406399785	2.64799e-004
-54980.8489135430	1.48970e-004
-54975.2596815178	1.01658e-004
-54968.9537162857	1.14706e-004
-54958.0877845178	1.97674e-004
-54931.0674915911	4.91653e-004
-54864.3614925540	1.21436e-003
-54828.8833996604	6.46651e-004
-54823.4956867648	9.82641e-005
