# cited_likelihood	citing_likelihood	overall_likelihood	convergence
-14997.2941029780	-19604.3650597304	-34601.6591627084	1.#INF0e+000
-36107.3425400175	-19604.3706455483	-55711.7131855658	-6.10088e-001
-35466.2352689418	-19604.3870761643	-55070.6223451061	1.15073e-002
-35305.1599590747	-19604.4142244468	-54909.5741835215	2.92439e-003
-35256.2677707786	-19604.4553283989	-54860.7230991775	8.89664e-004
-35237.5014525038	-19604.4963536794	-54841.9978061833	3.41324e-004
-35228.4177114844	-19604.5254111801	-54832.9431226645	1.65105e-004
-35223.2321446546	-19604.5465306964	-54827.7786753511	9.41851e-005
