SH600000	浦发银行
SH600004	白云机场
SH600005	武钢股份
SH600006	东风汽车
SH600007	中国国贸
SH600008	首创股份
SH600009	上海机场
SH600010	包钢股份
SH600011	华能国际
SH600012	皖通高速
SH600015	华夏银行
SH600016	民生银行
SH600017	日照港
SH600018	上港集团
SH600019	宝钢股份
SH600020	中原高速
SH600021	上海电力
SH600022	山东钢铁
SH600026	中海发展
SH600027	华电国际
SH600028	中国石化
SH600029	南方航空
SH600030	中信证券
SH600031	三一重工
SH600033	福建高速
SH600035	楚天高速
SH600036	招商银行
SH600037	歌华有线
SH600038	哈飞股份
SH600039	四川路桥
SH600048	保利地产
SH600050	中国联通
SH600051	宁波联合
SH600052	浙江广厦
SH600053	中江地产
SH600054	黄山旅游
SH600055	华润万东
SH600056	中国医药
SH600057	象屿股份
SH600058	五矿发展
SH600059	古越龙山
SH600060	海信电器
SH600061	中纺投资
SH600062	华润双鹤
SH600063	皖维高新
SH600064	南京高科
SH600066	宇通客车
SH600067	冠城大通
SH600068	葛洲坝
SH600069	银鸽投资
SH600070	浙江富润
SH600071	凤凰光学
SH600072	中船股份
SH600073	上海梅林
SH600074	中达股份
SH600075	新疆天业
SH600076	*ST华光
SH600077	宋都股份
SH600078	澄星股份
SH600079	人福医药
SH600080	金花股份
SH600081	东风科技
SH600082	海泰发展
SH600083	ST博信
SH600084	中葡股份
SH600085	同仁堂
SH600086	东方金钰
SH600087	*ST长油
SH600088	中视传媒
SH600089	特变电工
SH600090	啤酒花
SH600091	ST明科
SH600093	禾嘉股份
SH600094	大名城
SH600095	哈高科
SH600096	云天化
SH600097	开创国际
SH600098	广州发展
SH600099	林海股份
SH600100	同方股份
SH600101	明星电力
SH600103	青山纸业
SH600104	上汽集团
SH600105	永鼎股份
SH600106	重庆路桥
SH600107	美尔雅
SH600108	亚盛集团
SH600109	国金证券
SH600110	中科英华
SH600111	包钢稀土
SH600112	长征电气
SH600113	浙江东日
SH600114	东睦股份
SH600115	东方航空
SH600116	三峡水利
SH600117	西宁特钢
SH600118	中国卫星
SH600119	长江投资
SH600120	浙江东方
SH600121	郑州煤电
SH600122	宏图高科
SH600123	兰花科创
SH600125	铁龙物流
SH600126	杭钢股份
SH600127	金健米业
SH600128	弘业股份
SH600129	太极集团
SH600130	波导股份
SH600131	岷江水电
SH600132	重庆啤酒
SH600133	东湖高新
SH600135	乐凯胶片
SH600136	道博股份
SH600137	浪莎股份
SH600138	中青旅
SH600139	西部资源
SH600141	兴发集团
SH600143	金发科技
SH600145	国创能源
SH600146	大元股份
SH600148	长春一东
SH600149	廊坊发展
SH600150	中国船舶
SH600151	航天机电
SH600152	维科精华
SH600153	建发股份
SH600155	*ST宝硕
SH600156	华升股份
SH600157	永泰能源
SH600158	中体产业
SH600159	大龙地产
SH600160	巨化股份
SH600161	天坛生物
SH600162	香江控股
SH600163	福建南纸
SH600165	新日恒力
SH600166	福田汽车
SH600167	联美控股
SH600168	武汉控股
SH600169	太原重工
SH600170	上海建工
SH600171	上海贝岭
SH600172	黄河旋风
SH600173	卧龙地产
SH600175	美都控股
SH600176	中国玻纤
SH600177	雅戈尔
SH600178	东安动力
SH600179	黑化股份
SH600180	瑞茂通
SH600182	S佳通
SH600183	生益科技
