-67533.3870521744	1.#INF0e+000
-56439.4947961845	1.64273e-001
-54404.3395611305	3.60591e-002
-53543.3220613199	1.58263e-002
-53066.8644751456	8.89854e-003
-52725.5015319466	6.43269e-003
-52494.5372306948	4.38050e-003
-52355.2974092151	2.65246e-003
-52257.1991079320	1.87370e-003
-52176.5105703140	1.54407e-003
-52109.3031770701	1.28808e-003
-52056.9444102466	1.00479e-003
-52015.1687959544	8.02498e-004
-51979.5962043252	6.83889e-004
-51953.5176671337	5.01707e-004
-51934.5878869183	3.64360e-004
-51918.9317637053	3.01459e-004
-51906.6718451977	2.36136e-004
-51897.9715904267	1.67613e-004
-51891.1429117320	1.31579e-004
-51885.7806778482	1.03336e-004
-51880.7498193467	9.69603e-005
