# cited_likelihood	citing_likelihood	overall_likelihood	convergence
-16441.9900720632	-19148.0680158975	-35590.0580879607	1.#INF0e+000
-33387.4485811464	-19148.0727010878	-52535.5212822343	-4.76129e-001
-32935.8173710605	-19148.0719474249	-52083.8893184854	8.59670e-003
-32811.1941915464	-19148.0696728161	-51959.2638643625	2.39278e-003
-32765.3808335334	-19148.0686877282	-51913.4495212616	8.81736e-004
-32745.4122922159	-19148.0683537219	-51893.4806459377	3.84657e-004
-32735.8389402336	-19148.0682295392	-51883.9071697728	1.84483e-004
-32730.9612673183	-19148.0681766603	-51879.0294439787	9.40123e-005
