# cited_likelihood	citing_likelihood	overall_likelihood	convergence
-13.5366967038	-31.9859415591	-45.5226382629	1.#INF0e+000
-52.0267652165	-31.9860217552	-84.0127869717	-8.45517e-001
-52.0266917753	-31.9860217555	-84.0127135308	8.74163e-007
